4IG,4IG,4IG,HUF
AKKO,AKKO INVEST PLC,AKKO,HUF
ALTEO,ALTEO NYRT,ALTEO,HUF
ANY,ANY SECURITY PRINTING CO,ANY,HUF
APPENINN,APPENINN HOLDING,APPENINN,HUF
AUTOWALLI,AUTOWALLIS PLC,AUTOWALLIS,HUF
BIF,BUDAPEST REAL ESTATE PLC,BIF,HUF
CSEPEL,CSEPEL HOLDING NYRT,CSEPEL,HUF
DUNAHOUSE,DUNA HOUSE HOLDING NYRT,DUNAHOUSE,HUF
EHEP,ELSO HAZAI ENERGIA-PORTFOLIO,EHEP,HUF
ELMU,BUDAPESTI ELEKTROMOS MUVEK,ELMU,HUF
EMASZ,EMASZ,EMASZ,HUF
ENEFI,ENEFI ENERGYEFFICIENCY PLC,ENEFI,HUF
ESTMEDIA,EST MEDIA PLC,ESTMEDIA,HUF
ETFBUXOTP,BUX ETF,ETFBUXOTP,HUF
FHB,TAKAREK MORTGAGE BANK CO PLC,TAKAREKJZB,HUF
FINEXT,FINEXT NYRT,FINEXT,HUF
FORRAS OE,FORRAS B SHARE,FORRAS OE,HUF
FORRAS T,FORRAS TRUST AND INVESTMENT,FORRAS T,HUF
FUTURAQUA,FUTURAQUA MINERAL WATER PROD,FUTURAQUA,HUF
GSPARK,GRAPHISOFT PARK SE,GSPARK,HUF
KPACK,KARTONPACK DOBOZIPARI NYRT,KPACK,HUF
KULCSSOFT,KEY-SOFT COMPUTER TECHNOLOGY,KULCSSOFT,HUF
MASTERPLA,MASTERPLAST NYILVANOSAN MUKO,MASTERPLAST,HUF
MOL,MOL HUNGARIAN OIL AND GAS PL,MOL,HUF
MTELEKOM,MAGYAR TELEKOM TELECOMMUNICA,MTELEKOM,HUF
NORDTELEK,NORDTELEKOM TELE SERVICE PLC,NORDTELEKOM,HUF
NUTEX,NUTEX INVESTMENTS,NUTEX,HUF
OPUS,OPUS GLOBAL NYILVANOSAN MU,OPUS,HUF
ORMESTER,ORMESTER ORMESTER VAGYONVEDE,ORMESTER,HUF
OTP,OTP BANK PLC,OTP,HUF
OTPFEJLVI,OTP FEJLETT II CP CEF,OTPFEJLVIL2,HUF
PANNERGY,PANNERGY PLC,PANNERGY,HUF
PANNONIA.,CIG PANNONIA LIFE INSURANC-A,CIGPANNONIA,HUF
RABA,RABA AUTOMOTIVE HOLDING PLC,RABA,HUF
RICHTER,RICHTER GEDEON NYRT,RICHTER,HUF
SET,SET GROUP PUBLIC LTD,SET,HUF
WABERERS,WABERER'S INTERNATIONAL NYRT,WABERERS,HUF
ZWACK,ZWACK UNICUM RT,ZWACK,HUF
